ru-1078
The Times	The Times	PRO	PRO-The-Times
Би-би-си	Би-би-си	ORG	ORG-BBC-Ltd
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Брекзита	Брекзит	EVT	EVT-Brexit
Британии	Британия	LOC	GPE-Great-Britain
Великобритании	Великобритания	LOC	GPE-Great-Britain
Джонсон	Джонсон	PER	PER-Boris-Johnson
Джонсона	Джонсон	PER	PER-Boris-Johnson
Дэвид Дэвис	Дэвид Дэвис	PER	PER-David-Davis
Дэвис	Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Европейским союзом	Европейский союз	ORG	ORG-European-Union
Европейского союза	Европейский союз	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
МИД Великобритании	МИД Великобритании	ORG	ORG-Foreign-Office
МИД	МИД	ORG	ORG-Foreign-Office
Терезой Мэй	Тереза Мэй	PER	PER-Theresa-May
Терезы Мэй	Тереза Мэй	PER	PER-Theresa-May
партии консерваторов	партия консерваторов	ORG	ORG-Conservative-and-Unionist-Party-UK
референдумом 2016 года	референдум 2016 года	EVT	EVT-Brexit-Referendum
таможенного союза	таможенный союз	ORG	ORG-European-Union-Customs-Union
