ru-1095
Brexit	Brexit	EVT	EVT-Brexit
Блумберг	Блумберг	ORG	ORG-Bloomberg-LP
Британии	Британия	LOC	GPE-Great-Britain
ВТО	ВТО	ORG	ORG-WTO-World-Trade-Organization
Великобритании	Великобритания	LOC	GPE-Great-Britain
Д.Дэвис	Д.Дэвис	PER	PER-David-Davis
Д.Рааб	Д.Рааб	PER	PER-Dominic-Raab
Доминика Рааба	Доминик Рааб	PER	PER-Dominic-Raab
Дэвида Дэвиса	Дэвид Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
ИФ	ИФ	ORG	ORG-Interfax
Т.Мэй	Т.Мэй	PER	PER-Theresa-May
Тереза Мэй	Тереза Мэй	PER	PER-Theresa-May
британского правительства	британское правительство	ORG	ORG-the-UK-Government
