ru-ryanair-new-extra-235
REGNUM	REGNUM	ORG	ORG-REGNUM-News-Agency
«Северный поток — 2»	«Северный поток — 2»	PRO	PRO-Nord-Stream-2
Австрии	Австрия	LOC	GPE-Austria
Австрию	Австрия	LOC	GPE-Austria
Вольфганом Соботкой	Вольфган Соботка	PER	PER-Wolfgang-Sobotka
Порошенко	Порошенко	PER	PER-Petro-Poroshenko
Пётр Порошенко	Пётр Порошенко	PER	PER-Petro-Poroshenko
России	Россия	LOC	GPE-Russia
США	США	LOC	GPE-USA
Северном потоке 2	Северный поток 2	PRO	PRO-Nord-Stream-2
Северный поток 2	Северный поток 2	PRO	PRO-Nord-Stream-2
Соботкой	Соботка	PER	PER-Wolfgang-Sobotka
Украине	Украина	LOC	GPE-Ukraine
Украины	Украина	LOC	GPE-Ukraine
