ru-ryanair-new-extra-549
"Северный поток - 2"	"Северный поток - 2"	PRO	PRO-Nord-Stream-2
Берлине	Берлин	LOC	GPE-Berlin
Вашингтона	Вашингтон	LOC	GPE-WashingtonDC
Германии	Германия	LOC	GPE-Germany
Европу	Европа	LOC	LOC-Europe
Захарова	Захарова	PER	PER-Maria-Zaharova
МИД Германии	МИД Германии	ORG	ORG-Ministry-of-Foreign-Affairs-Germany
МИД России	МИД России	ORG	ORG-Ministry-of-Foreign-Affairs-Russia
Мария Захарова	Мария Захарова	PER	PER-Maria-Zaharova
Министерство иностранных дел России	Министерство иностранных дел России	ORG	ORG-Ministry-of-Foreign-Affairs-Russia
Ричарде Гренелле	Ричард Гренелл	PER	PER-Richard-Grenell
России	Россия	LOC	GPE-Russia
США	США	LOC	GPE-USA
