ru-ryanair-new-extra-995
OMV	OMV	ORG	ORG-OMV
«Северного потока — 2»	«Северный поток — 2»	PRO	PRO-Nord-Stream-2
«Северного потока-2»	«Северный поток-2»	PRO	PRO-Nord-Stream-2
«Северный поток — 2»	«Северный поток — 2»	PRO	PRO-Nord-Stream-2
Балтийского моря	Балтийское море	LOC	LOC-Baltic-Sea
Вашингтона	Вашингтон	LOC	GPE-WashingtonDC
Вене	Вена	LOC	
Данией	Дания	LOC	GPE-Denmark
Дании	Дания	LOC	GPE-Denmark
Зеле	Зеле	PER	PER-Rainer-Seele
Манфред Ляйтнер	Манфред Ляйтнер	PER	PER-Manfred-Leitner
Райнер Зеле	Райнер Зеле	PER	PER-Rainer-Seele
