ru-1046
Brexit	Brexit	EVT	EVT-Brexit
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Бориса Джонсона	Борис Джонсон	PER	PER-Boris-Johnson
Великобритании	Великобритания	LOC	GPE-Great-Britain
Великобритания	Великобритания	LOC	GPE-Great-Britain
Даунинг-стрит	Даунинг-стрит	LOC	LOC-Downing-Street
Дэвид Дэвис	Дэвид Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
Лондона	Лондон	LOC	GPE-London
МИД Великобритании	МИД Великобритании	ORG	ORG-Foreign-Office
МИД	МИД	ORG	ORG-Foreign-Office
Мэй	Мэй	PER	PER-Theresa-May
Терезой Мэй	Тереза Мэй	PER	PER-Theresa-May
Терезы Мэй	Тереза Мэй	PER	PER-Theresa-May
