ru-1075
Facebook	Facebook	PRO	PRO-Facebook
Бориса Джонсона	Борис Джонсон	PER	PER-Boris-Johnson
Брексит	Брексит	EVT	EVT-Brexit
Великобритании	Великобритания	LOC	GPE-Great-Britain
Даунинг-Стрит	Даунинг-Стрит	LOC	LOC-Downing-Street
Джонсона	Джонсон	PER	PER-Boris-Johnson
Дэвид Дэвис	Дэвид Дэвис	PER	PER-David-Davis
Захарова	Захарова	PER	PER-Maria-Zaharova
Захаровой	Захарова	PER	PER-Maria-Zaharova
МИД Великобритании	МИД Великобритании	ORG	ORG-Foreign-Office
МИД России	МИД России	ORG	ORG-Ministry-of-Foreign-Affairs-Russia
Мария Захарова	Мария Захарова	PER	PER-Maria-Zaharova
Мэй	Мэй	PER	PER-Theresa-May
Сергей	Сергей	PER	PER-Siergiej-Skripal
Солсбери	Солсбери	LOC	GPE-Salisbury
Т.Мэй	Т.Мэй	PER	PER-Theresa-May
Эймсбери	Эймсбери	LOC	LOC-Amesbury
Юлия Скрипали	Юлия Скрипаль	PER	PER-Yulia-Skripal
британском правительстве	британское правительство	ORG	ORG-the-UK-Government
