ru-1351
Бильд	Бильд	PRO	PRO-Bild
Владимира Путина	Владимир Путин	PER	PER-Vladimir-Putin
Германии 	Германия	LOC	GPE-Germany
Германии	Германиz	LOC	GPE-Germany
Герхард Шрёдер	Герхард Шрёдер	PER	PER-Gerhard-Fritz-Kurt-Schröder
Герхарда Шрёдера	Герхард Шрёдер	PER	PER-Gerhard-Fritz-Kurt-Schröder
Герхарда Шрёдера	Герхарда Шрёдера	PER	PER-Gerhard-Fritz-Kurt-Schröder
Европейский Союз	Европейский Союз	ORG	ORG-European-Union
МИДа	МИД	ORG	ORG-Ministry-of-Foreign-Affairs-Russia
МИДа	МИДа	ORG	ORG-Ministry-of-Foreign-Affairs-Russia
Нордстрим	Нордстрим	ORG	ORG-Nord-Stream-2-AG
Павел Климкин	Павел Климкин	PER	PER-Pavel-Klimkin
Роснефть	Роснефть	ORG	ORG-Rosneft
Шрёдер 	Шрёдер	PER	PER-Gerhard-Fritz-Kurt-Schröder
