ru-125
Boeing-737-800	Boeing-737-800	PRO	PRO-Boeing-737
INTERFAX.RU	INTERFAX.RU	ORG	ORG-Interfax
Ryanair	Ryanair	ORG	ORG-Ryanair
Бельгии	Бельгия	LOC	GPE-Belgium
Бельгия	Бельгия	LOC	GPE-Belgium
Брюсселе	Брюссель	LOC	GPE-Brussles
Германии	Германия	LOC	GPE-Germany
Германия	Германия	LOC	GPE-Germany
Дублине	Дублин	LOC	GPE-Dublin
Европе	Европа	LOC	LOC-Europe
Ирландия	Ирландия	LOC	GPE-Ireland
Испании	Испания	LOC	GPE-Spain
Италии	Италия	LOC	GPE-Italy
Кенни Джейкобса	Кенни Джейкобс	PER	PER-Kenny-Jacobs
Москва	Москва	LOC	GPE-Moscow
Нидерландах	Нидерланды	LOC	GPE-Holland
Нидерланды	Нидерланды	LOC	GPE-Holland
Португалии	Португалия	LOC	GPE-Portugal
Швеция	Швеция	LOC	GPE-Sweden
