ru-140
Ryanair	Ryanair	ORG	ORG-Ryanair
Аликанте	Аликанте	LOC	GPE-Alicante
Бельгии	Бельгия	LOC	GPE-Belgium
Бремен	Бремен	LOC	GPE-Bremen
Германии	Германия	LOC	GPE-Germany
Голландии	Голландия	LOC	GPE-Holland
Европе	Европа	LOC	LOC-Europe
Испании	Испания	LOC	GPE-Spain
Италии	Италия	LOC	GPE-Italy
Лондон	Лондон	LOC	GPE-London
Новости «24 часа»	Новости «24 часа»	PRO	PRO-News-24-hours
Португалии	Португалия	LOC	GPE-Portugal
СТВ	СТВ	PRO	PRO-STV-Channel
Таллиннского аэропорта	Таллиннский аэропорт	LOC	LOC-Tallinn-Airport
