ru-69
EU 261	EU 261	PRO	PRO-EU-261-Regulation
IAG	IAG	ORG	ORG-IAG-International-Airlines-Group
International Airlines Group	International Airlines Group	ORG	ORG-IAG-International-Airlines-Group
Ryanair	Ryanair	ORG	ORG-Ryanair
Wizz Air	Wizz Air	ORG	ORG-Wizz-Air
easyJet	easyJet	ORG	ORG-EasyJet
Барселону	Барселона	LOC	GPE-Barcelona
Бельгии	Бельгия	LOC	GPE-Belgium
ЕС	ЕС	ORG	ORG-European-Union
Еврокомиссию	Еврокомиссия	ORG	ORG-European-Commission
Испании	Испания	LOC	GPE-Spain
Португалии	Португалия	LOC	GPE-Portugal
Риги	Рига	LOC	GPE-Riga
Франции	Франция	LOC	GPE-France
